,year,violent,murder,robbery,population,state,law
237,1983,456.7,8.4,144.2,5.728254,GA,no
238,1984,478.6,9.4,144.1,5.834957,GA,no
239,1985,507.2,10.4,164.2,5.962668,GA,no
240,1986,587.6,11.2,213.9,6.08466,GA,no
241,1987,576.5,11.8,209.2,6.20847,GA,no
242,1988,665.3,11.7,243.6,6.316153,GA,no
243,1989,735.8,12.7,271.1,6.411085,GA,no
244,1990,756.3,11.8,263.5,6.506531,GA,yes
245,1991,738.2,12.8,268.2,6.621279,GA,yes
246,1992,733.2,11,249.8,6.759474,GA,yes
247,1993,723.1,11.4,248,6.894092,GA,yes
248,1994,667.7,10,222.6,7.0459,GA,yes
249,1995,657.1,9.5,205.2,7.188538,GA,yes
250,1996,638.7,8.6,205.4,7.332225,GA,yes
251,1997,606.6,7.5,206.7,7.486094,GA,yes
252,1998,572.7,8.1,187.2,7.636522,GA,yes
253,1999,534,7.5,166.4,7.78824,GA,yes
254,1977,224.8,7.2,128,0.918257,HI,no
255,1978,270.1,6.7,173.6,0.931586,HI,no
256,1979,289.7,7.2,184.5,0.953305,HI,no
257,1980,299.5,8.7,190.2,0.96771,HI,no
258,1981,247.6,4.8,148.4,0.978174,HI,no
259,1982,255.7,3.1,156.9,0.993802,HI,no
260,1983,252.1,5.6,130,1.012717,HI,no
261,1984,231.9,3.3,115.9,1.027935,HI,no
262,1985,219.4,4.1,99.4,1.039683,HI,no
263,1986,245.2,4.8,106.3,1.051759,HI,no
264,1987,263.3,4.8,98,1.067911,HI,no
265,1988,257.1,4,84.1,1.079823,HI,no
266,1989,270.1,4.8,83.2,1.094584,HI,no
267,1990,280.9,4,91.4,1.112703,HI,no
268,1991,241.8,4,86.9,1.131412,HI,no
269,1992,258.4,3.6,99.2,1.149926,HI,no
270,1993,261.2,3.8,103.6,1.161508,HI,no
271,1994,262.2,4.2,103.6,1.173903,HI,no
272,1995,295.6,4.7,130.8,1.18049,HI,no
273,1996,280.6,3.4,135.6,1.184434,HI,no
274,1997,277.9,4,118.2,1.189322,HI,no
275,1998,246.9,2,102.7,1.190472,HI,no
276,1999,235,3.7,88.1,1.185497,HI,no
277,1977,236.9,5.5,39.6,0.883471,ID,no
278,1978,236.4,5.4,40,0.910691,ID,no
279,1979,288.7,5.4,43.3,0.932626,ID,no
280,1980,313.4,3.1,46.8,0.947983,ID,no
281,1981,283.3,4.5,37.7,0.962203,ID,no
282,1982,259.2,2.5,30.3,0.973729,ID,no
283,1983,238.7,3.5,27.3,0.981858,ID,no
284,1984,235.3,3.4,24.4,0.990841,ID,no
285,1985,234.8,2.2,26.8,0.994046,ID,no
286,1986,222.5,3.2,21.3,0.990226,ID,no
287,1987,214.2,3.1,24.2,0.985004,ID,no
288,1988,234.7,3.6,20.2,0.985669,ID,no
289,1989,254.6,2.6,15,0.994426,ID,no
290,1990,275.7,2.7,15,1.011882,ID,no
291,1991,290.3,1.8,20.7,1.038915,ID,yes
292,1992,281.4,3.5,21.5,1.06649,ID,yes
293,1993,281.8,2.9,16.9,1.101204,ID,yes
294,1994,285.8,3.5,18.4,1.135459,ID,yes
295,1995,322,4.1,24,1.165,ID,yes
296,1996,267.2,3.6,20.3,1.187706,ID,yes
297,1997,256.8,3.2,19.6,1.210638,ID,yes
298,1998,282.2,2.9,21.5,1.230923,ID,yes
299,1999,244.9,2,17.8,1.2517,ID,yes
300,1977,630.6,9.9,280.3,11.38632,IL,no
301,1978,676.7,9.9,292.9,11.41256,IL,no
302,1979,743.9,10.7,321.1,11.39684,IL,no
303,1980,808,10.6,367,11.4347,IL,no
304,1981,792.5,10.5,373.2,11.44346,IL,no
305,1982,774.3,8.8,346.8,11.42341,IL,no
306,1983,728.1,9.7,318.9,11.40882,IL,no
307,1984,724.9,9,303.8,11.41214,IL,no
308,1985,714.8,8,287.1,11.3998,IL,no
309,1986,808.9,8.9,325.3,11.38726,IL,no
310,1987,796.2,8.3,314.3,11.39118,IL,no
311,1988,810.4,8.6,312.7,11.39018,IL,no
312,1989,845.9,9,335.7,11.40979,IL,no
313,1990,967.4,10.3,394,11.44698,IL,no
314,1991,1039.2,11.3,456.1,11.53597,IL,no
315,1992,977.3,11.4,412.5,11.6352,IL,no
316,1993,959.7,11.4,381.2,11.72598,IL,no
317,1994,960.9,11.7,372.6,11.80499,IL,no
318,1995,996.1,10.3,330.8,11.88494,IL,no
319,1996,890.4,10,279.4,11.953,IL,no
320,1997,861.4,9.2,278.4,12.01151,IL,no
321,1998,807.7,8.4,248.5,12.06977,IL,no
322,1999,732.5,7.7,219.4,12.12837,IL,no
323,1977,310.6,7.4,123.2,5.425637,IN,yes
324,1978,323.5,6.2,121.4,5.470213,IN,yes
325,1979,338,8.3,132.7,5.501176,IN,yes
326,1980,377.8,8.9,141.4,5.490721,IN,yes
327,1981,341.6,7.1,129,5.480425,IN,yes
328,1982,300.6,6.5,109,5.467927,IN,yes
329,1983,283.8,5.2,99.9,5.450402,IN,yes
330,1984,305.2,5.5,98.9,5.458328,IN,yes
331,1985,309.4,5.8,92.1,5.459216,IN,yes
332,1986,307.7,6,90,5.454114,IN,yes
333,1987,328.5,5.6,88.6,5.473009,IN,yes
334,1988,380,6.4,89,5.491734,IN,yes
335,1989,406.5,6.3,101.4,5.523684,IN,yes
336,1990,473.9,6.2,101.3,5.555097,IN,yes
337,1991,505.3,7.5,116,5.602062,IN,yes
338,1992,508.5,8.2,122.2,5.648649,IN,yes
339,1993,489.1,7.5,119.8,5.701965,IN,yes
340,1994,525.1,7.9,130.2,5.745626,IN,yes
341,1995,524.7,8,135.2,5.791819,IN,yes
342,1996,537,7.2,124.1,5.834908,IN,yes
343,1997,514.6,7.3,132.4,5.87237,IN,yes
344,1998,431,7.7,111.2,5.907617,IN,yes
345,1999,374.6,6.6,109.3,5.942901,IN,yes
346,1977,144,2.3,41.2,2.913573,IA,no
347,1978,161.4,2.6,46.9,2.918071,IA,no
348,1979,181.2,2.2,50.2,2.915739,IA,no
349,1980,200.4,2.2,54.9,2.914018,IA,no
350,1981,204.2,2.6,53.6,2.907975,IA,no
351,1982,172.7,2.3,36.2,2.88819,IA,no
352,1983,181.1,2.3,41,2.87055,IA,no
353,1984,198.7,2,38.3,2.858624,IA,no
354,1985,211.7,1.9,41.2,2.829685,IA,no
355,1986,235.1,1.8,42,2.791966,IA,no
356,1987,231.2,2.1,36.2,2.767005,IA,no
357,1988,256.8,1.7,39.9,2.768392,IA,no
358,1989,266.3,1.9,39,2.770585,IA,no
359,1990,299.7,1.9,39.2,2.779769,IA,no
360,1991,303.3,2,45,2.791227,IA,no
361,1992,278,1.6,39.6,2.806923,IA,no
362,1993,325.5,2.3,53.9,2.820525,IA,no
363,1994,315.1,1.7,46.9,2.829422,IA,no
364,1995,354.4,1.8,53,2.84086,IA,no
365,1996,272.5,1.9,45.1,2.848473,IA,no
366,1997,310,1.8,55.9,2.854396,IA,no
367,1998,311.5,1.9,50.9,2.861025,IA,no
368,1999,280,1.5,36.6,2.869413,IA,no
369,1977,309.8,6.6,100.7,2.320647,KS,no
370,1978,318.2,5.7,93.7,2.335657,KS,no
371,1979,353.6,5.5,102.3,2.350908,KS,no
372,1980,389.3,6.9,113.1,2.369039,KS,no
373,1981,369.4,6.3,109.7,2.384859,KS,no
374,1982,335.9,5.7,87,2.401211,KS,no
375,1983,326.6,5.6,84,2.415537,KS,no
376,1984,334.2,3.7,71.6,2.424076,KS,no
377,1985,355.8,4.9,78.7,2.427412,KS,no
378,1986,368.8,4.4,79.6,2.432616,KS,no
379,1987,360.7,4.4,82.1,2.445387,KS,no
380,1988,365.2,3.4,85.9,2.461987,KS,no
381,1989,400.8,5.5,99.8,2.472847,KS,no
382,1990,447.7,4,117.6,2.480683,KS,no
383,1991,499.6,6.1,138.4,2.495209,KS,no
384,1992,510.8,6,129.9,2.526042,KS,no
385,1993,496.4,6.4,123.6,2.547605,KS,no
386,1994,443,6.7,115.1,2.569118,KS,no
387,1995,420.7,6.2,108.2,2.586942,KS,no
388,1996,413.8,6.6,96.3,2.598266,KS,no
389,1997,409.2,6,93.3,2.616339,KS,no
390,1998,397,5.9,86.8,2.638667,KS,no
391,1999,382.8,6,77.1,2.654052,KS,no
392,1977,233.6,10.1,81.1,3.573694,KY,no
393,1978,223.2,9,81.3,3.609976,KY,no
394,1979,248,9.5,92.1,3.641806,KY,no
395,1980,266.7,8.8,95.2,3.664221,KY,no
396,1981,289.5,8.4,100.7,3.670385,KY,no
397,1982,315,9.7,97.3,3.683437,KY,no
398,1983,322.2,9.8,87.1,3.69448,KY,no
399,1984,277.8,6.6,70.7,3.695451,KY,no
400,1985,305.5,6.9,75.7,3.694827,KY,no
401,1986,334.4,6.7,82.5,3.687813,KY,no
402,1987,337.8,7.5,90.2,3.683325,KY,no
403,1988,330.1,6.2,74.3,3.680003,KY,no
404,1989,356.9,7.9,76.1,3.677312,KY,no
405,1990,390.4,7.2,69.1,3.692584,KY,no
406,1991,438,6.8,83.1,3.714686,KY,no
407,1992,535.5,5.8,87.2,3.756358,KY,no
408,1993,462.7,6.6,90.4,3.792288,KY,no
409,1994,444,6.4,93.9,3.823215,KY,no
410,1995,364.7,7.2,103.7,3.855248,KY,no
411,1996,320.5,5.9,93.8,3.881051,KY,no
412,1997,316.9,5.8,90.7,3.907816,KY,yes
413,1998,284,4.6,75.4,3.93431,KY,yes
414,1999,300.6,5.4,80,3.960825,KY,yes
415,1977,524.8,15.5,142.9,4.014462,LA,no
416,1978,584.9,15.8,173.7,4.068578,LA,no
417,1979,676.3,16.9,219.4,4.137666,LA,no
418,1980,665,15.7,197,4.223101,LA,no
419,1981,638.3,15.6,202,4.283298,LA,no
420,1982,669.1,16,212.6,4.35261,LA,no
421,1983,640.9,14.2,190,4.395316,LA,no
422,1984,678,12.9,190.5,4.400474,LA,no
423,1985,694.2,10.9,190.3,4.408121,LA,no
424,1986,758.2,12.8,223.8,4.406918,LA,no
425,1987,693,11.1,179,4.344129,LA,no
426,1988,717.4,11.6,209,4.288835,LA,no
427,1989,781.8,14.9,237.3,4.252906,LA,no
428,1990,898.4,17.2,269.8,4.219179,LA,no
429,1991,951,16.9,278.9,4.24095,LA,no
430,1992,984.6,17.4,271.4,4.270849,LA,yes
431,1993,1061.7,20.3,283.6,4.284749,LA,yes
432,1994,981.9,19.8,267.2,4.3065,LA,yes
433,1995,1007.4,17,268.6,4.327978,LA,yes
434,1996,929.1,17.5,276.6,4.338763,LA,yes
435,1997,855.9,15.7,239.1,4.35139,LA,yes
436,1998,779.5,12.8,198,4.362758,LA,yes
437,1999,732.7,10.7,173.6,4.372035,LA,yes
438,1977,224.7,2.4,38.7,1.103577,ME,no
439,1978,207.7,2.7,32.9,1.113565,ME,no
440,1979,202.5,2.8,31.8,1.122564,ME,no
441,1980,193.4,2.8,30.8,1.12686,ME,no
442,1981,195.6,3.2,32.5,1.133021,ME,no
443,1982,163,2.1,30.5,1.136684,ME,yes
444,1983,159.6,2.1,27.1,1.144769,ME,yes
445,1984,158.5,1.7,26.4,1.15563,ME,yes
446,1985,167.5,2.4,24.4,1.162935,ME,yes
447,1986,147,2,27.9,1.170121,ME,yes
448,1987,152.1,2.5,25.6,1.18457,ME,yes
449,1988,157.4,3.1,25.8,1.20383,ME,yes
450,1989,137.2,3.2,24,1.219944,ME,yes
451,1990,143.2,2.4,25.1,1.231296,ME,yes
452,1991,132.1,1.2,22.7,1.235439,ME,yes
453,1992,130.9,1.7,23.3,1.235748,ME,yes
454,1993,125.7,1.6,21.3,1.238256,ME,yes
455,1994,129.9,2.3,22.4,1.237687,ME,yes
456,1995,131.4,2,26.9,1.237438,ME,yes
457,1996,124.9,2,23.5,1.241436,ME,yes
458,1997,120.8,2,20.7,1.245215,ME,yes
459,1998,125.8,2,21.1,1.247554,ME,yes
460,1999,112.2,2.2,19.4,1.25304,ME,yes
461,1977,693.8,8,292.1,4.169594,MD,no
462,1978,732,8.2,309.6,4.183604,MD,no
463,1979,795.5,9.8,331.2,4.191163,MD,no
464,1980,852.4,9.5,392.7,4.227643,MD,no
465,1981,887.1,9.9,424.4,4.261908,MD,no
466,1982,850,10.1,360.5,4.282917,MD,no
467,1983,807.1,8.5,347.4,4.313319,MD,no
468,1984,792.3,8.1,301.1,4.365238,MD,no
469,1985,834.6,7.9,302.2,4.413075,MD,no
470,1986,833,9,304,4.486957,MD,no
471,1987,767.8,9.6,290.3,4.565578,MD,no
472,1988,806.8,9.7,301.3,4.657908,MD,no
473,1989,855.4,11.6,332.1,4.727298,MD,no
474,1990,919,11.5,363.8,4.797431,MD,no
475,1991,956.2,11.7,407.1,4.856176,MD,no
476,1992,1000.1,12.1,429,4.902545,MD,no
477,1993,997.8,12.7,434.7,4.942504,MD,no
478,1994,948,11.6,402.5,4.985411,MD,no
479,1995,986.9,11.8,423.1,5.02365,MD,no
480,1996,931.2,11.6,393.2,5.057142,MD,no
481,1997,846.6,9.9,336.8,5.092914,MD,no
482,1998,796.6,10,298.7,5.130072,MD,no
483,1999,743.4,9,263.7,5.171634,MD,no
484,1977,425.3,3.1,169.9,5.738201,MA,no
485,1978,462,3.7,172.3,5.73647,MA,no
486,1979,531.3,3.7,203.2,5.738406,MA,no
487,1980,601.3,4.1,235.5,5.746075,MA,no
488,1981,628.6,3.6,270.9,5.768683,MA,no
489,1982,571.4,3.8,213.8,5.771226,MA,no
490,1983,576.8,3.5,208.5,5.799403,MA,no
491,1984,523.7,3.6,174.6,5.840772,MA,no
492,1985,538.2,3.5,188.5,5.880743,MA,no
493,1986,556.9,3.6,192.7,5.902682,MA,no
494,1987,564.6,3,177.3,5.935209,MA,no
495,1988,619.6,3.5,176.3,5.979981,MA,no
496,1989,675,4.3,202.6,6.015479,MA,no
497,1990,736.3,4,217.1,6.018664,MA,no
498,1991,736.1,4.2,194.6,5.998652,MA,no
499,1992,779,3.6,184.4,5.993474,MA,no
500,1993,804.9,3.9,175.7,6.010884,MA,no
501,1994,707.6,3.5,168.2,6.031352,MA,no
502,1995,687.2,3.6,150.4,6.062335,MA,no
503,1996,642.2,2.6,127.7,6.085393,MA,no
504,1997,644.2,1.9,109.1,6.115476,MA,no
505,1998,621.3,2,96.6,6.144407,MA,no
506,1999,551,2,96,6.175169,MA,no
507,1977,584.7,9.3,261.9,9.17111,MI,no
508,1978,577.2,10.6,219.3,9.217762,MI,no
509,1979,614.2,9.1,219.6,9.266269,MI,no
510,1980,639.5,10.2,244,9.255553,MI,no
511,1981,641.9,9.4,257.5,9.209284,MI,no
512,1982,656.6,9.1,271.1,9.115202,MI,no
513,1983,716.7,10,285.3,9.047753,MI,no
514,1984,760.1,9.7,306.7,9.049446,MI,no
515,1985,734.1,11.2,292.4,9.076297,MI,no
516,1986,803.9,11.3,301.3,9.127776,MI,no
517,1987,780.1,12.2,276.5,9.187485,MI,no
518,1988,741.7,10.8,241.1,9.218,MI,no
519,1989,709.2,10.7,222.3,9.25329,MI,no
520,1990,790.4,10.4,234,9.310462,MI,no
521,1991,803.1,10.8,243.3,9.395022,MI,no
522,1992,770.1,9.9,221.5,9.470323,MI,no
523,1993,791.5,9.8,238.5,9.52924,MI,no
524,1994,766.1,9.8,228.9,9.584481,MI,no
